Name	Meta	main_role	sub_role	Function	locus_tag
CS374_RS06775	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	glycosyltransferase family 2 protein	PgPan_1740
CF003_RS12695	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	OstA-like protein	PgPan_1805
lptC	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	LPS export ABC transporter periplasmic protein LptC	PgPan_1843
PGS_RS02640	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	LPS-assembly protein LptD	PgPan_1878
PGF_RS04895	Cell structure	Cell envelope	Surface structures	ABC transporter permease	PgPan_0113
CS550_RS05620	Cell structure	Cell envelope	Surface structures	FtsX-like permease family protein	PgPan_0489
CF003_RS18695	Cell structure	Cell envelope	Surface structures	ABC transporter ATP-binding protein	PgPan_0905
bcp	Cellular processes2	Cellular processes	Adaptations to atypical conditions	thioredoxin-dependent thiol peroxidase	PgPan_0079
mscL	Cellular processes2	Cellular processes	Adaptations to atypical conditions	large-conductance mechanosensitive channel protein MscL	PgPan_0426
CF002_RS03815	Cellular processes2	Cellular processes	Adaptations to atypical conditions	ferritin	PgPan_0464
surE	Cellular processes2	Cellular processes	Adaptations to atypical conditions	5/3-nucleotidase SurE	PgPan_0810
AT291_RS00950	Cellular processes2	Cellular processes	Adaptations to atypical conditions	VWA domain-containing protein	PgPan_0860
PGA7_RS01930	Cellular processes2	Cellular processes	Adaptations to atypical conditions	VWA domain-containing protein	PgPan_0861
CF002_RS06340	Cellular processes2	Cellular processes	Adaptations to atypical conditions	tetratricopeptide repeat protein	PgPan_0862
CF001_RS12685	Cellular processes2	Cellular processes	Adaptations to atypical conditions	protein BatD	PgPan_0863
PGS_RS02430	Cellular processes2	Cellular processes	Adaptations to atypical conditions	tetratricopeptide repeat protein	PgPan_0864
tpx	Cellular processes2	Cellular processes	Adaptations to atypical conditions	thiol peroxidase	PgPan_0983
CLI74_RS04725	Cellular processes2	Cellular processes	Adaptations to atypical conditions	exopolyphosphatase	PgPan_0992
B0493_RS00500	Cellular processes2	Cellular processes	Adaptations to atypical conditions	universal stress protein	PgPan_1018
PGA7_RS05900	Cellular processes2	Cellular processes	Adaptations to atypical conditions	META domain-containing protein	PgPan_1367
EG14_RS00140	Cellular processes2	Cellular processes	Adaptations to atypical conditions	"bifunctional (p)ppGpp synthetase/guanosine-3,5-bis(diphosphate) 3-pyrophosphohydrolase"	PgPan_1624
CS546_RS02985	Cellular processes2	Cellular processes	Adaptations to atypical conditions	DUF2807 domain-containing protein	PgPan_1811
CF003_RS20150	Cellular processes2	Cellular processes	Biosynthesis of natural products	polyprenyl synthetase family protein	PgPan_0575
CS388_RS02325	Cellular processes2	Cellular processes	Biosynthesis of natural products	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	PgPan_1897
CS543_RS08400	Cellular processes2	Cellular processes	Cell division	Mrp/NBP35 family ATP-binding protein	PgPan_0145
CBG53_RS05780	Cellular processes2	Cellular processes	Cell division	ATP-binding cassette domain-containing protein	PgPan_0787
CS545_RS08680	Cellular processes2	Cellular processes	Cell division	septum formation initiator	PgPan_0894
CS548_RS03055	Cellular processes2	Cellular processes	Cell division	DNA translocase FtsK	PgPan_0960
AT291_RS06285	Cellular processes2	Cellular processes	Cell division	tyrosine recombinase XerD	PgPan_0986
hflB	Cellular processes2	Cellular processes	Cell division	ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein	PgPan_1268
maf	Cellular processes2	Cellular processes	Cell division	septum formation protein Maf	PgPan_1460
ftsZ	Cellular processes2	Cellular processes	Cell division	cell division protein FtsZ	PgPan_1523
PGJ_RS06130	Cellular processes2	Cellular processes	Cell division	cell division protein FtsA	PgPan_1524
AT291_RS04590	Cellular processes2	Cellular processes	Cell division	hypothetical protein	PgPan_1525
PGA7_RS06440	Cellular processes2	Cellular processes	Cell division	FtsW/RodA/SpoVE family cell cycle protein	PgPan_1528
CF002_RS01585	Cellular processes2	Cellular processes	Cell division	transpeptidase family protein	PgPan_1532
zapA	Cellular processes2	Cellular processes	Cell division	cell division protein ZapA	PgPan_1798
CS545_RS07640	Cellular processes2	Cellular processes	Cell division	FtsW/RodA/SpoVE family cell cycle protein	PgPan_1867
mreC	Cellular processes2	Cellular processes	Cell division	rod shape-determining protein MreC	PgPan_1870
CF003_RS17970	Cellular processes2	Cellular processes	Cell division	FtsX-like permease family protein	PgPan_1895
AT291_RS09470	Cellular processes2	Cellular processes	Chemotaxis and motility	gliding motility-associated C-terminal domain-containing protein	PgPan_0197
gldE	Cellular processes2	Cellular processes	Chemotaxis and motility	gliding motility-associated protein GldE	PgPan_0999
gldH	Cellular processes2	Cellular processes	Chemotaxis and motility	gliding motility lipoprotein GldH	PgPan_1795
hcp	Cellular processes2	Cellular processes	Detoxification	hydroxylamine reductase	PgPan_0088
B0490_RS09585	Cellular processes2	Cellular processes	Detoxification	MATE family efflux transporter	PgPan_0268
CS059_RS04005	Cellular processes2	Cellular processes	Detoxification	alpha-2-macroglobulin	PgPan_0777
CLI74_RS05975	Cellular processes2	Cellular processes	Detoxification	rhodanese-like domain-containing protein	PgPan_0842
CF001_RS12080	Cellular processes2	Cellular processes	Detoxification	rhodanese-like domain-containing protein	PgPan_0969
PGJ_RS08440	Cellular processes2	Cellular processes	Detoxification	metal ABC transporter permease	PgPan_1219
CF003_RS11060	Cellular processes2	Cellular processes	Detoxification	TolC family protein	PgPan_1281
CS549_RS04515	Cellular processes2	Cellular processes	Detoxification	efflux RND transporter permease subunit	PgPan_1282
CS388_RS05390	Cellular processes2	Cellular processes	Detoxification	efflux RND transporter periplasmic adaptor subunit	PgPan_1283
ahpF	Cellular processes2	Cellular processes	Detoxification	alkyl hydroperoxide reductase subunit F	PgPan_1497
ahpC	Cellular processes2	Cellular processes	Detoxification	peroxiredoxin	PgPan_1498
B0490_RS06750	Cellular processes2	Cellular processes	Detoxification	efflux RND transporter permease subunit	PgPan_1555
CS544_RS09075	Cellular processes2	Cellular processes	Detoxification	efflux RND transporter periplasmic adaptor subunit	PgPan_1556
CS059_RS00965	Cellular processes2	Cellular processes	Detoxification	TolC family protein	PgPan_1557
CS544_RS07905	Cellular processes2	Cellular processes	Detoxification	TolC family protein	PgPan_1692
CF003_RS14770	Cellular processes2	Cellular processes	Detoxification	cation transporter	PgPan_1880
CS550_RS06870	Cellular processes2	Cellular processes	Detoxification	superoxide dismutase	PgPan_1886
B0492_RS06425	Cellular processes2	Cellular processes	DNA transformation	helix-hairpin-helix domain-containing protein	PgPan_0906
SJDPG2_RS05770	Cellular processes2	Cellular processes	DNA transformation	ComF family protein	PgPan_1097
dprA	Cellular processes2	Cellular processes	DNA transformation	DNA-protecting protein DprA	PgPan_1704
PGS_RS02235	Cellular processes2	Cellular processes	Other1	heavy-metal-associated domain-containing protein	PgPan_0965
CS059_RS06110	Cellular processes2	Cellular processes	Other1	O-methyltransferase	PgPan_0984
CS549_RS03475	Cellular processes2	Cellular processes	Other1	RidA family protein	PgPan_1134
B0492_RS02035	Cellular processes2	Cellular processes	Other1	copper homeostasis protein CutC	PgPan_1357
CLI74_RS07295	Cellular processes2	Cellular processes	Other1	S-ribosylhomocysteine lyase	PgPan_1605
CS548_RS07590	Cellular processes2	Cellular processes	Toxin production and resistance	transglycosylase	PgPan_0036
CS544_RS05600	Cellular processes2	Cellular processes	Toxin production and resistance	BlaI/MecI/CopY family transcriptional regulator	PgPan_0791
SJDPG2_RS06645	Cellular processes2	Cellular processes	Toxin production and resistance	MarC family protein	PgPan_1038
B0492_RS09455	Cellular processes2	Cellular processes	Toxin production and resistance	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	PgPan_1507
CLI74_RS04610	Cellular processes2	Cellular processes	Toxin production and resistance	peptidylarginine deiminase PPAD	PgPan_1904
B0493_RS06100	Genetic information processing	DNA metabolism	Chromosome-associated proteins	DNA-binding protein	PgPan_0122
HMPREF1555_RS03665	Genetic information processing	DNA metabolism	Chromosome-associated proteins	DNA-binding protein	PgPan_0347
CF003_RS15425	Genetic information processing	DNA metabolism	Chromosome-associated proteins	histidinol-phosphate aminotransferase	PgPan_0473
SJDPG2_RS08580	Genetic information processing	DNA metabolism	Chromosome-associated proteins	integration host factor subunit beta	PgPan_0484
CS544_RS04775	Genetic information processing	DNA metabolism	Chromosome-associated proteins	ParA family protein	PgPan_1113
CS543_RS11165	Genetic information processing	DNA metabolism	Chromosome-associated proteins	HU family DNA-binding protein	PgPan_1133
CS548_RS08665	Genetic information processing	DNA metabolism	Chromosome-associated proteins	DNA-binding protein	PgPan_1539
PGF_RS06865	Genetic information processing	DNA metabolism	Chromosome-associated proteins	histidinol phosphate phosphatase	PgPan_1545
CS543_RS03210	Genetic information processing	DNA metabolism	Chromosome-associated proteins	DUF4496 domain-containing protein	PgPan_1737
B0490_RS06830	Genetic information processing	DNA metabolism	Chromosome-associated proteins	histidinol-phosphate aminotransferase	PgPan_1865
B0490_RS09535	Genetic information processing	DNA metabolism	Degradation of DNA	exodeoxyribonuclease VII large subunit	PgPan_0258
CS388_RS01375	Genetic information processing	DNA metabolism	Degradation of DNA	endonuclease	PgPan_1506
xseB	Genetic information processing	DNA metabolism	Degradation of DNA	exodeoxyribonuclease VII small subunit	PgPan_1898
ruvA	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	Holliday junction branch migration protein RuvA	PgPan_0048
recA	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	recombinase RecA	PgPan_0080
CS550_RS04085	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	DNA-deoxyinosine glycosylase	PgPan_0103
holB	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	DNA polymerase III subunit delta	PgPan_0123
holA	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	DNA polymerase III subunit delta	PgPan_0135
uvrA	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	excinuclease ABC subunit UvrA	PgPan_0198
CS059_RS08405	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	UvrD-helicase domain-containing protein	PgPan_0200
PGJ_RS03540	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	DNA mismatch repair protein MutS	PgPan_0304
uvrC	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	excinuclease ABC subunit UvrC	PgPan_0328
dnaG	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	DNA primase	PgPan_0358
CF002_RS08815	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	RecQ family ATP-dependent DNA helicase	PgPan_0370
mutY	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	A/G-specific adenine glycosylase	PgPan_0386
CS544_RS10425	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	Y-family DNA polymerase	PgPan_0418
umuD	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	translesion error-prone DNA polymerase V autoproteolytic subunit	PgPan_0419
ruvC	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	crossover junction endodeoxyribonuclease RuvC	PgPan_0432
recR	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	recombination protein RecR	PgPan_0486
ligA	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	NAD-dependent DNA ligase LigA	PgPan_0488
CS549_RS07085	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	DNA alkylation repair protein	PgPan_0493
dnaB	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	replicative DNA helicase	PgPan_0497
CF002_RS04145	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	ribonuclease H	PgPan_0520
CS388_RS05705	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	DNA repair protein RecO	PgPan_0584
priA	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	primosomal protein N	PgPan_0659
CLI74_RS06705	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	AAA family ATPase	PgPan_0674
group_3661	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	excinuclease ABC subunit UvrA	PgPan_0771
CS387_RS09985	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	non-canonical purine NTP diphosphatase	PgPan_0879
gyrB	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	DNA topoisomerase (ATP-hydrolyzing) subunit B	PgPan_0899
CS388_RS02850	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	DNA gyrase/topoisomerase IV subunit A	PgPan_0949
B0493_RS01820	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	CinA family protein	PgPan_0979
ssb	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	single-stranded DNA-binding protein	PgPan_1000
xth	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	exodeoxyribonuclease III	PgPan_1002
ung	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	uracil-DNA glycosylase	PgPan_1023
radA	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	DNA repair protein RadA	PgPan_1036
PGS_RS01485	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	3-5 exonuclease	PgPan_1039
EG14_RS04590	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	hydrolase TatD	PgPan_1062
B0490_RS08405	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	3-5 exonuclease	PgPan_1086
CLI74_RS06015	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	RecX family transcriptional regulator	PgPan_1098
CS387_RS08675	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	ParB/RepB/Spo0J family partition protein	PgPan_1114
recN	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	DNA repair protein RecN	PgPan_1136
CLI74_RS09015	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	3-5 exonuclease	PgPan_1139
dnaN	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	DNA polymerase III subunit beta	PgPan_1140
EG14_RS00335	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	YraN family protein	PgPan_1154
dnaA	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	chromosomal replication initiator protein DnaA	PgPan_1231
rmuC	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	DNA recombination protein RmuC	PgPan_1258
dnaE	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	DNA polymerase III subunit alpha	PgPan_1260
recJ	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	single-stranded-DNA-specific exonuclease RecJ	PgPan_1272
CS544_RS06285	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	AAA family ATPase	PgPan_1280
mutS	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	DNA mismatch repair protein MutS	PgPan_1307
topB	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	DNA topoisomerase III	PgPan_1312
topA	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	type I DNA topoisomerase	PgPan_1327
CS059_RS00055	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	ribonuclease HII	PgPan_1341
CF001_RS17630	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	PD-(D/E)XK nuclease family protein	PgPan_1576
ruvB	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	Holliday junction branch migration DNA helicase RuvB	PgPan_1611
CS388_RS07870	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	methylated-DNA--[protein]-cysteine S-methyltransferase	PgPan_1612
polA	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	DNA polymerase I	PgPan_1637
mfd	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	transcription-repair coupling factor	PgPan_1658
nth	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	endonuclease III	PgPan_1660
recG	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	ATP-dependent DNA helicase RecG	PgPan_1751
CS545_RS02145	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	type IIA DNA topoisomerase subunit B	PgPan_1769
uvrB	Genetic information processing	DNA metabolism	"DNA replication, recombination, and repair"	excinuclease ABC subunit UvrB	PgPan_1776
